author_name,appears_in,affiliation,author_id
Wenchao Xu,W4410226390,Hong Kong Polytechnic University,https://openalex.org/A5063181504
Tianzhe Xiao,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5061171733
Hong Liu,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5115595829
Minzhu Tu,W4410226390,Beijing University of Posts and Telecommunications,https://openalex.org/A5111880089
Yuying Wang,W4410226390,Soochow University,https://openalex.org/A5100411329
Xin Yang,W4410226390,Southwestern University of Finance and Economics,https://openalex.org/A5059699243
Rui Zhang,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5100422092
Shui Yu,W4410226390;W4285233920;W4396982204;W4405741930;W7172030722,University of Technology Sydney,https://openalex.org/A5005228053
Song Guo,W4410226390,Hong Kong University of Science and Technology,https://openalex.org/A5043464306
Ruixuan Li,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5039670436
Hong Zhu,W4394896797,Chinese Academy of Sciences,https://openalex.org/A5067232865
Yue Zhao,W4394896797,Chinese Academy of Sciences,https://openalex.org/A5100458078
Shengzhi Zhang,W4394896797;W4384948583;W4414603391,Boston University,https://openalex.org/A5027504758
Kai Chen,W4394896797;W4384948583;W4387185380;W4213079900;W4414603391,Chinese Academy of Sciences,https://openalex.org/A5100437976
Ruofei Wang,W4392903451,Civil Aviation University of China,https://openalex.org/A5029875220
Renjie Wan,W4392903451;W4402944026;W3086120435,Hong Kong Baptist University,https://openalex.org/A5085201191
Zongyu Guo,W4392903451,Civil Aviation University of China,https://openalex.org/A5019699241
Qing Guo,W4392903451;W4393079043;W4402944026,"Agency for Science, Technology and Research",https://openalex.org/A5026239594
Rui Huang,W4392903451,Civil Aviation University of China,https://openalex.org/A5022571340
Weixuan Tang,W4405097853,Guangzhou University,https://openalex.org/A5103133635
Jiahao Li,W4405097853,Guangzhou University,
Yuan Rao,W4405097853,Guangzhou University,https://openalex.org/A5101423126
Zhili Zhou,W4405097853,Guangzhou University,https://openalex.org/A5089418255
Fei Peng,W4405097853,Guangzhou University,https://openalex.org/A5049120636
Yu Feng,W4407507713,Northwestern Polytechnical University,
Dongnan Liu,W4407507713,The University of Sydney,https://openalex.org/A5027686620
Yanning Zhang,W4407507713,Northwestern Polytechnical University,https://openalex.org/A5028235866
Weidong Cai,W4407507713,The University of Sydney,https://openalex.org/A5076697411
Jianhao Ding,W4416359059,Peking University,https://openalex.org/A5030879654
Zhaofei Yu,W4416359059,Peking University,https://openalex.org/A5048087489
Jian K. Liu,W4416359059,University of Birmingham,https://openalex.org/A5001710920
Tiejun Huang,W4416359059,Peking University,https://openalex.org/A5058066577
Yi Zeng,W3206773754,,https://openalex.org/A5025846619
