author_name,appears_in,affiliation,author_id
Yulai Xie,W4402660152,Huazhong University of Science and Technology,https://openalex.org/A5051731173
Dan Feng,W4402660152,Wuhan National Laboratory for Optoelectronics,https://openalex.org/A5102658992
Yuhua Sun,W4402660152;W4285428780,Huazhong University of Science and Technology,https://openalex.org/A5108009600
Tailai Zhang,W4402660152;W4285428780,Huazhong University of Science and Technology,https://openalex.org/A5006901308
Zhongqi Wang,W4404725244;W4417427582,Chinese Academy of Sciences,https://openalex.org/A5035942632
Jie Zhang,W4404725244;W4417427582,Chinese Academy of Sciences,https://openalex.org/A5010618416
Shiguang Shan,W4404725244;W4417427582,Chinese Academy of Sciences,https://openalex.org/A5050297728
Xilin Chen,W4404725244;W4417427582,Chinese Academy of Sciences,https://openalex.org/A5083420537
Haipeng Peng,W4386634675;W4409640599,Beijing University of Posts and Telecommunications,https://openalex.org/A5016214742
Shuang Bao,W4386634675,Beijing University of Posts and Telecommunications,https://openalex.org/A5070992149
Lixiang Li,W4386634675,Beijing University of Posts and Telecommunications,https://openalex.org/A5100734103
Xiao Yang,W4392172243,Shanghai Jiao Tong University,https://openalex.org/A5101972163
Gaolei Li,W4392172243;W4408323506,Shanghai Jiao Tong University,https://openalex.org/A5007267530
Xiaoyi Tao,W4392172243,Dalian Maritime University,https://openalex.org/A5056756764
Jianhua Li,W4392172243,Shanghai Jiao Tong University,https://openalex.org/A5110670970
Feng Xu,W4393158745,Nanjing University,https://openalex.org/A5004418846
Qiang Liu,W4403977061,Xiangtan University,https://openalex.org/A5100716586
Yanlong Qiu,W4403977061,National University of Defense Technology,https://openalex.org/A5019512392
Tongqing Zhou,W4403977061;W4389144521,National University of Defense Technology,https://openalex.org/A5044528861
Ming Xu,W4403977061,National University of Defense Technology,https://openalex.org/A5026694481
Fan Zhang,W4403977061,National University of Defense Technology,https://openalex.org/A5100403518
Zhiping Cai,W4403977061;W4389144521,National University of Defense Technology,https://openalex.org/A5006334685
Ling‐Yu Duan,W4404810593,Peking University,https://openalex.org/A5024879728
Teng Huang,W4376139366,Guangzhou University,https://openalex.org/A5010660404
Hongyang Yan,W4376139366,Guangzhou University,https://openalex.org/A5055842190
Lishan Ke,W4376139366,Guangzhou University,https://openalex.org/A5044661002
Weixuan Tang,W4376139366,Guangzhou University,https://openalex.org/A5011972758
Rubing Xue,W4394585858,Shandong University of Science and Technology,https://openalex.org/A5101333303
Chao Liu,W4394585858,Ocean University of China,https://openalex.org/A5100362891
Lukun Wang,W4394585858,Shandong University of Science and Technology,https://openalex.org/A5101572893
Lingxin Jin,W4408998867,University of Electronic Science and Technology of China,https://openalex.org/A5044207082
Xingzhi Zhou,W4408998867,University of Electronic Science and Technology of China,https://openalex.org/A5101756360
Jiaming He,W4413786017,University of Electronic Science and Technology of China,
Rui Zhang,W4413786017,University of Electronic Science and Technology of China,https://openalex.org/A5100422102
Chen Chen,W4401212199,Zhejiang Gongshang University,https://openalex.org/A5100418451
Haibo Hong,W4401212199;W4409223199,Zhejiang Gongshang University,https://openalex.org/A5083588975
Tao Xiang,W4401212199,Chongqing University,https://openalex.org/A5079461118
Mande Xie,W4401212199,Zhejiang Gongshang University,https://openalex.org/A5100660299
Hong Sun,W4403094518,University of Science and Technology of China,https://openalex.org/A5114833394
Beihao Xia,W4403094518;W4417251792,Huazhong University of Science and Technology,https://openalex.org/A5028632571
Xue Rui,W4403094518,Nanjing University of Information Science and Technology,https://openalex.org/A5103655695
Wei Zhang,W4403094518,University of Science and Technology of China,
Qinglang Guo,W4403094518,China Academy of Information and Communications Technology,https://openalex.org/A5072389850
Zhangjie Fu,W4403094518;W4412625426,Nanjing University of Information Science and Technology,https://openalex.org/A5066341740
Haomiao Yang,W4405741930;W4312803479,University of Electronic Science and Technology of China,https://openalex.org/A5048390686
Yongjie Xu,W4411454352,ShanghaiTech University,https://openalex.org/A5102202439
Fu Song,W4411454352,Nanjing Institute of Technology,https://openalex.org/A5027425633
Yuqi Chen,W4411454352,ShanghaiTech University,https://openalex.org/A5026181425
Yanxin Yang,W4416549605,East China Normal University,https://openalex.org/A5100965242
Pengyu Zhang,W4416549605,East China Normal University,https://openalex.org/A5102795710
Yusheng Guo,W4387968566,Fudan University,https://openalex.org/A5074481036
Nan Zhong,W4387968566,Fudan University,https://openalex.org/A5060167465
Zhenxing Qian,W4387968566,Fudan University,https://openalex.org/A5036715206
Xinpeng Zhang,W4387968566,Fudan University,https://openalex.org/A5101889358
Hanfeng Xia,W4409223199,Zhejiang Gongshang University,https://openalex.org/A5109737648
Yiru Sun,W4409223199,Zhejiang Gongshang University,https://openalex.org/A5083271889
Hao Ding,W4409223199,Zhejiang Gongshang University,https://openalex.org/A5011300626
Haiyan Zhang,W4412971470,Xidian University,
Xinghua Li,W4412971470,Xidian University,https://openalex.org/A5100626958
S.W. Yuan,W4412971470,Xidian University,https://openalex.org/A5063026980
Mengyao Zhu,W4412971470;W7160142908,Xidian University,https://openalex.org/A5103062985
Weijie Zhao,W3201941857,Baidu (China),https://openalex.org/A5075541712
Jinwen Xin,W4315705628;W4402352499,Xidian University,https://openalex.org/A5062774626
Xixiang Lyu,W4315705628;W3121478722;W3123680815,Xidian University,https://openalex.org/A5110729471
Jing Ma,W4315705628;W4403791880,Xidian University,https://openalex.org/A5040179664
Chang Yue,W4387185380,Chinese Academy of Sciences,https://openalex.org/A5114860602
Peizhuo Lv,W4387185380,Chinese Academy of Sciences,https://openalex.org/A5046057883
Ruigang Liang,W4387185380,Chinese Academy of Sciences,https://openalex.org/A5072373338
Yang Jin,W4312603603,Peking University,https://openalex.org/A5101574528
Yadong Mu,W4312603603;W3191777533;W3163760706,Peking University,https://openalex.org/A5028877572
Zichuan Xu,W4285428780,Dalian University of Technology,https://openalex.org/A5063489530
Yining Mao,W4283807635,Zhejiang University,https://openalex.org/A5104141596
